Time	Iteration	LossDelta	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
10.342185020446777	0	0.00934982	22.2355555556	12.4294481071	70.0	8.0	22.2355555556	12.4294481071	5003	5003
16.750131368637085	1	0.00721073	22.1371681416	11.0683211723	60.0	9.0	22.1371681416	11.0683211723	5003	10006
23.09821319580078	2	0.0073185	22.1371681416	10.7482758007	76.0	9.0	22.1371681416	10.7482758007	5003	15009
29.54096221923828	3	0.00872707	22.2444444444	12.1672704061	80.0	8.0	22.2444444444	12.1672704061	5005	20014
35.8950560092926	4	0.00745869	23.0829493088	12.0223499456	79.0	8.0	23.0829493088	12.0223499456	5009	25023
42.200886964797974	5	0.00824547	23.7028301887	12.9272781471	79.0	9.0	23.7028301887	12.9272781471	5025	30048
48.50905227661133	6	0.00854969	23.5211267606	12.8748316785	100.0	8.0	23.5211267606	12.8748316785	5010	35058
54.80566215515137	7	0.0071907	23.3691588785	12.4213105334	107.0	9.0	23.3691588785	12.4213105334	5001	40059
61.18516969680786	8	0.00747585	22.4977578475	12.8212528296	106.0	8.0	22.4977578475	12.8212528296	5017	45076
67.54310441017151	9	0.00752258	23.3581395349	12.2773043128	83.0	8.0	23.3581395349	12.2773043128	5022	50098
73.85092830657959	10	0.00588894	22.1592920354	11.4459610465	73.0	9.0	22.1592920354	11.4459610465	5008	55106
80.1912009716034	11	0.00822258	23.819047619	14.2636941401	99.0	9.0	23.819047619	14.2636941401	5002	60108
86.50693202018738	12	0.00710011	23.7914691943	12.9839172564	104.0	9.0	23.7914691943	12.9839172564	5020	65128
92.98617148399353	13	0.00893497	25.3686868687	12.9692888715	83.0	9.0	25.3686868687	12.9692888715	5023	70151
99.35612916946411	14	0.00853443	24.4048780488	13.0749052362	93.0	9.0	24.4048780488	13.0749052362	5003	75154
105.69890522956848	15	0.0101166	25.1859296482	14.4082822014	120.0	10.0	25.1859296482	14.4082822014	5012	80166
112.1489245891571	16	0.00833893	24.5170731707	13.6179920879	81.0	9.0	24.5170731707	13.6179920879	5026	85192
118.53151512145996	17	0.0085659	24.5833333333	13.6965687941	107.0	8.0	24.5833333333	13.6965687941	5015	90207
124.93991947174072	18	0.00955486	24.6029411765	15.1273739403	129.0	8.0	24.6029411765	15.1273739403	5019	95226
130.97813272476196	19	0.0111837	27.543956044	14.5010701294	73.0	9.0	27.543956044	14.5010701294	5013	100239
136.05725264549255	20	0.0109596	26.7234042553	15.0229641629	99.0	9.0	26.7234042553	15.0229641629	5024	105263
142.07303476333618	21	0.013401	28.106741573	16.2475533007	105.0	9.0	28.106741573	16.2475533007	5003	110266
148.3242313861847	22	0.0122728	26.9408602151	17.1358188433	147.0	8.0	26.9408602151	17.1358188433	5011	115277
154.60286784172058	23	0.0119085	26.4684210526	15.873730455	102.0	10.0	26.4684210526	15.873730455	5029	120306
160.12583446502686	24	0.00913715	25.3131313131	15.5525479186	118.0	9.0	25.3131313131	15.5525479186	5012	125318
166.47691893577576	25	0.0120811	27.9664804469	15.2604573327	102.0	9.0	27.9664804469	15.2604573327	5006	130324
172.93112468719482	26	0.00928783	25.9430051813	12.2098178997	69.0	9.0	25.9430051813	12.2098178997	5007	135331
