Time	Iteration	LossDelta	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
14.02490496635437	0	0.0108156	22.3333333333	11.5154003163	67.0	9.0	22.3333333333	11.5154003163	5025	5025
19.52412486076355	1	0.0109854	22.6801801802	11.8910771288	77.0	9.0	22.6801801802	11.8910771288	5035	10060
25.592833995819092	2	0.014987	25.6461538462	13.4333272155	88.0	9.0	25.6461538462	13.4333272155	5001	15061
31.86577796936035	3	0.0132484	23.8380952381	12.9707537759	83.0	9.0	23.8380952381	12.9707537759	5006	20067
38.33498001098633	4	0.0142632	25.025	14.4084827446	92.0	9.0	25.025	14.4084827446	5005	25072
44.13839864730835	5	0.0132399	23.7358490566	14.5756335095	107.0	9.0	23.7358490566	14.5756335095	5032	30104
50.0872368812561	6	0.0122623	24.0769230769	13.6710617362	88.0	9.0	24.0769230769	13.6710617362	5008	35112
56.312294721603394	7	0.0137501	26.2041884817	14.9258264961	109.0	9.0	26.2041884817	14.9258264961	5005	40117
62.76076102256775	8	0.0121899	26.1302083333	13.643096696	89.0	9.0	26.1302083333	13.643096696	5017	45134
69.20938491821289	9	0.0151358	26.2395833333	16.3122172975	131.0	9.0	26.2395833333	16.3122172975	5038	50172
75.43791460990906	10	0.0152245	26.4603174603	13.8064765841	100.0	9.0	26.4603174603	13.8064765841	5001	55173
81.94764351844788	11	0.0120544	25.5510204082	13.3898548627	87.0	9.0	25.5510204082	13.3898548627	5008	60181
87.91791200637817	12	0.0129213	26.0572916667	15.0035360054	137.0	8.0	26.0572916667	15.0035360054	5003	65184
94.34834051132202	13	0.0168591	28.6818181818	20.4495195846	171.0	9.0	28.6818181818	20.4495195846	5048	70232
100.77699708938599	14	0.0136623	27.5714285714	14.8454624415	102.0	10.0	27.5714285714	14.8454624415	5018	75250
107.45142984390259	15	0.0138521	28.2528089888	16.9705004454	111.0	9.0	28.2528089888	16.9705004454	5029	80279
114.35515284538269	16	0.0156803	29.1686046512	17.5575648682	121.0	9.0	29.1686046512	17.5575648682	5017	85296
120.53201055526733	17	0.0135593	29.650887574	16.6737582803	103.0	10.0	29.650887574	16.6737582803	5011	90307
126.96021842956543	18	0.0141296	29.6686390533	15.7910625211	92.0	10.0	29.6686390533	15.7910625211	5014	95321
133.4620144367218	19	0.0140066	28.2849162011	15.0114424278	75.0	9.0	28.2849162011	15.0114424278	5063	100384
139.96437668800354	20	0.0145521	29.3157894737	16.6927773309	106.0	10.0	29.3157894737	16.6927773309	5013	105397
146.38399147987366	21	0.0155964	29.4588235294	15.581703404	95.0	9.0	29.4588235294	15.581703404	5008	110405
153.30619359016418	22	0.0175581	30.8343558282	18.0089493103	105.0	9.0	30.8343558282	18.0089493103	5026	115431
