Time	Iteration	LossDelta	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
13.591363668441772	0	0.000607887	23.4744186047	13.8583547636	114.0	9.0	23.4744186047	13.8583547636	5047	5047
20.233678340911865	1	0.000633995	23.8714285714	12.5245527572	85.0	9.0	23.8714285714	12.5245527572	5013	10060
26.708748817443848	2	0.000673842	25.4670050761	15.0013595886	83.0	8.0	25.4670050761	15.0013595886	5017	15077
33.16731023788452	3	0.000640658	25.9587628866	15.37900398	77.0	9.0	25.9587628866	15.37900398	5036	20113
39.50968146324158	4	0.000465767	24.3640776699	12.5890409605	98.0	9.0	24.3640776699	12.5890409605	5019	25132
45.85604548454285	5	0.000788865	23.9282296651	12.1706218256	69.0	9.0	23.9282296651	12.1706218256	5001	30133
52.607340812683105	6	0.000616226	25.9585492228	14.7935128609	114.0	9.0	25.9585492228	14.7935128609	5010	35143
59.25228524208069	7	0.0005673	25.9430051813	13.6962558813	99.0	9.0	25.9430051813	13.6962558813	5007	40150
65.59364175796509	8	0.000619584	25.5357142857	12.721256115	86.0	9.0	25.5357142857	12.721256115	5005	45155
72.12952828407288	9	0.000612069	24.5833333333	13.5746995296	106.0	9.0	24.5833333333	13.5746995296	5015	50170
77.9821183681488	10	0.000534696	25.8769230769	14.0980169825	90.0	9.0	25.8769230769	14.0980169825	5046	55216
84.7906641960144	11	0.000658195	26.670212766	12.9855798074	91.0	10.0	26.670212766	12.9855798074	5014	60230
91.3367030620575	12	0.000678967	26.125	15.1480540554	113.0	8.0	26.125	15.1480540554	5016	65246
98.37624907493591	13	0.000883635	25.8608247423	13.005796144	69.0	9.0	25.8608247423	13.005796144	5017	70263
104.71302390098572	14	0.000858286	28.3764044944	15.1111575897	96.0	8.0	28.3764044944	15.1111575897	5051	75314
111.1376600265503	15	0.000848758	28.1741573034	14.2772705988	80.0	10.0	28.1741573034	14.2772705988	5015	80329
116.95403027534485	16	0.000943997	26.544973545	13.4528114575	81.0	9.0	26.544973545	13.4528114575	5017	85346
123.3653917312622	17	0.000829658	28.8793103448	14.508512269	92.0	11.0	28.8793103448	14.508512269	5025	90371
129.73756766319275	18	0.000918657	27.4207650273	15.0483013026	94.0	10.0	27.4207650273	15.0483013026	5018	95389
136.141761302948	19	0.00084309	27.6629834254	16.1317849641	108.0	10.0	27.6629834254	16.1317849641	5007	100396
142.65965342521667	20	0.000765003	29.3274853801	15.2180373162	87.0	10.0	29.3274853801	15.2180373162	5015	105411
149.05966782569885	21	0.000935819	29.5647058824	15.8332836762	93.0	9.0	29.5647058824	15.8332836762	5026	110437
155.5669503211975	22	0.000922155	29.0930232558	16.1552266055	86.0	10.0	29.0930232558	16.1552266055	5004	115441
162.0429220199585	23	0.000924319	30.5182926829	16.9912002192	85.0	9.0	30.5182926829	16.9912002192	5005	120446
168.60744404792786	24	0.000919002	31.7106918239	19.2737139443	96.0	9.0	31.7106918239	19.2737139443	5042	125488
173.9366738796234	25	0.000678751	30.1437125749	17.8615015861	135.0	10.0	30.1437125749	17.8615015861	5034	130522
179.66346287727356	26	0.000905631	28.7643678161	14.2278945463	95.0	10.0	28.7643678161	14.2278945463	5005	135527
186.089848279953	27	0.00101709	30.371257485	16.1606793515	85.0	9.0	30.371257485	16.1606793515	5072	140599
192.5468442440033	28	0.0008172	32.335483871	17.1668387829	108.0	10.0	32.335483871	17.1668387829	5012	145611
199.02623462677002	29	0.000955874	32.0318471338	16.8448976879	106.0	9.0	32.0318471338	16.8448976879	5029	150640
205.4599313735962	30	0.000542691	34.3424657534	20.4153576211	177.0	11.0	34.3424657534	20.4153576211	5014	155654
212.00553941726685	31	0.000774337	31.3043478261	17.0603763359	115.0	8.0	31.3043478261	17.0603763359	5040	160694
218.48320508003235	32	0.000960543	32.7254901961	19.3327367366	96.0	10.0	32.7254901961	19.3327367366	5007	165701
225.0599308013916	33	0.000673834	35.2068965517	18.9255880615	105.0	11.0	35.2068965517	18.9255880615	5105	170806
231.6235671043396	34	0.000861775	33.9527027027	18.9384973502	103.0	9.0	33.9527027027	18.9384973502	5025	175831
238.01519393920898	35	0.000690067	37.0740740741	20.0542337378	119.0	11.0	37.0740740741	20.0542337378	5005	180836
244.50075697898865	36	0.000680421	37.1407407407	20.4364101229	133.0	10.0	37.1407407407	20.4364101229	5014	185850
251.10408806800842	37	0.000814511	37.1764705882	20.7527044137	129.0	11.0	37.1764705882	20.7527044137	5056	190906
257.5515739917755	38	0.000524262	37.0888888889	21.0802581566	121.0	11.0	37.0888888889	21.0802581566	5007	195913
264.1072084903717	39	0.000837934	38.2824427481	17.3611282961	92.0	11.0	38.2824427481	17.3611282961	5015	200928
270.4929175376892	40	0.00078146	37.2222222222	17.2470788366	105.0	13.0	37.2222222222	17.2470788366	5025	205953
276.07900762557983	41	0.00073784	36.9705882353	17.2088986798	136.0	12.0	36.9705882353	17.2088986798	5028	210981
282.56358766555786	42	0.00059503	40.128	20.6323923964	128.0	12.0	40.128	20.6323923964	5016	215997
288.94256567955017	43	0.000624324	39.2265625	18.0230819211	99.0	10.0	39.2265625	18.0230819211	5021	221018
295.3583333492279	44	0.000635304	39.0703125	19.7033402917	108.0	13.0	39.0703125	19.7033402917	5001	226019
301.7794919013977	45	0.00069997	40.384	19.5205672049	110.0	12.0	40.384	19.5205672049	5048	231067
308.32063817977905	46	0.000521926	41.6363636364	20.0503498455	116.0	12.0	41.6363636364	20.0503498455	5038	236105
314.8930079936981	47	0.00060602	42.025210084	23.0561835468	117.0	14.0	42.025210084	23.0561835468	5001	241106
321.38609194755554	48	0.000430041	39.8888888889	16.8500493251	112.0	11.0	39.8888888889	16.8500493251	5026	246132
