Time	Iteration	LossDelta	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
13.434036254882812	0	0.00800705	21.6796536797	12.1074365135	76.0	9.0	21.6796536797	12.1074365135	5008	5008
19.832902669906616	1	0.00518608	19.6470588235	9.60396880668	69.0	8.0	19.6470588235	9.60396880668	5010	10018
26.11353325843811	2	0.00686646	21.2288135593	11.3495396882	76.0	9.0	21.2288135593	11.3495396882	5010	15028
30.743160009384155	3	0.00445271	20.3805668016	10.523201034	67.0	8.0	20.3805668016	10.523201034	5034	20062
37.02432441711426	4	0.00674152	21.6379310345	11.4834187446	89.0	9.0	21.6379310345	11.4834187446	5020	25082
43.10638928413391	5	0.00371933	20.1814516129	10.0720858824	79.0	8.0	20.1814516129	10.0720858824	5005	30087
49.50477933883667	6	0.00485706	21.7782608696	12.0097227467	75.0	8.0	21.7782608696	12.0097227467	5009	35096
55.700098276138306	7	0.00511169	21.4615384615	10.9298762996	69.0	8.0	21.4615384615	10.9298762996	5022	40118
61.36672306060791	8	0.00480652	23.376744186	12.9231149893	88.0	9.0	23.376744186	12.9231149893	5026	45144
67.72196531295776	9	0.00361156	21.7068965517	10.606615731	75.0	8.0	21.7068965517	10.606615731	5036	50180
73.73088002204895	10	0.0043745	21.3319148936	10.5099973963	69.0	9.0	21.3319148936	10.5099973963	5013	55193
80.05661869049072	11	0.00408459	21.3106382979	10.3612049337	79.0	9.0	21.3106382979	10.3612049337	5008	60201
86.27029752731323	12	0.00345707	21.2936170213	10.4316907557	75.0	8.0	21.2936170213	10.4316907557	5004	65205
92.62196612358093	13	0.00496006	22.1814159292	12.588371152	95.0	9.0	22.1814159292	12.588371152	5013	70218
98.85839700698853	14	0.00421906	21.7316017316	11.1517201724	66.0	9.0	21.7316017316	11.1517201724	5020	75238
105.18685126304626	15	0.00492001	23.2744186047	12.9831392094	92.0	8.0	23.2744186047	12.9831392094	5004	80242
111.5523407459259	16	0.00597	23.2962962963	13.1984561802	93.0	8.0	23.2962962963	13.1984561802	5032	85274
117.88143706321716	17	0.00649738	23.5258215962	12.0388861301	72.0	8.0	23.5258215962	12.0388861301	5011	90285
123.21874141693115	18	0.00591087	23.1990740741	12.0578159328	92.0	8.0	23.1990740741	12.0578159328	5011	95296
129.48572158813477	19	0.00560856	22.5585585586	10.8509016395	65.0	8.0	22.5585585586	10.8509016395	5008	100304
135.846617937088	20	0.00498295	22.2345132743	12.2847071627	84.0	8.0	22.2345132743	12.2847071627	5025	105329
142.0986864566803	21	0.00502586	22.4642857143	10.7495253811	59.0	9.0	22.4642857143	10.7495253811	5032	110361
148.55354833602905	22	0.00736523	25.18	14.1328553378	107.0	8.0	25.18	14.1328553378	5036	115397
154.83800888061523	23	0.00444889	21.370212766	10.9448893134	82.0	9.0	21.370212766	10.9448893134	5022	120419
161.0458528995514	24	0.00568485	23.3255813953	10.9385618931	57.0	9.0	23.3255813953	10.9385618931	5015	125434
167.21396040916443	25	0.0067625	24.1105769231	13.1840624814	88.0	8.0	24.1105769231	13.1840624814	5015	130449
173.32297348976135	26	0.00740337	25.1608040201	13.8075163915	100.0	9.0	25.1608040201	13.8075163915	5007	135456
179.4588098526001	27	0.00705051	24.3951219512	13.3059669582	94.0	8.0	24.3951219512	13.3059669582	5001	140457
185.78028750419617	28	0.00636864	23.2453703704	12.8635998379	90.0	9.0	23.2453703704	12.8635998379	5021	145478
192.15375900268555	29	0.00755692	23.7535545024	14.7367395344	100.0	9.0	23.7535545024	14.7367395344	5012	150490
198.5055332183838	30	0.00759697	23.6462264151	12.3869352547	101.0	9.0	23.6462264151	12.3869352547	5013	155503
204.7519609928131	31	0.00930214	25.8041237113	14.197893829	78.0	9.0	25.8041237113	14.197893829	5006	160509
211.04799056053162	32	0.0130901	28.095505618	17.985852181	155.0	9.0	28.095505618	17.985852181	5001	165510
217.3260941505432	33	0.00878906	25.2663316583	13.3948322035	80.0	8.0	25.2663316583	13.3948322035	5028	170538
223.6359338760376	34	0.0080862	23.7075471698	12.4563138352	75.0	9.0	23.7075471698	12.4563138352	5026	175564
230.03113460540771	35	0.0119505	25.8041237113	17.0802467299	155.0	9.0	25.8041237113	17.0802467299	5006	180570
236.41636443138123	36	0.0110111	26.3736842105	14.5682546766	121.0	10.0	26.3736842105	14.5682546766	5011	185581
242.84935879707336	37	0.0092783	25.3939393939	13.2831009689	89.0	10.0	25.3939393939	13.2831009689	5028	190609
249.3525140285492	38	0.0120754	25.9948186528	18.2862947092	166.0	9.0	25.9948186528	18.2862947092	5017	195626
255.86679482460022	39	0.0109196	26.6296296296	15.1671592584	82.0	9.0	26.6296296296	15.1671592584	5033	200659
262.38191413879395	40	0.0113392	27.4378378378	15.7702311308	93.0	9.0	27.4378378378	15.7702311308	5076	205735
268.845351934433	41	0.00957298	26.9086021505	15.2557844197	108.0	9.0	26.9086021505	15.2557844197	5005	210740
275.38219141960144	42	0.0124054	29.6804733728	14.5729638549	98.0	10.0	29.6804733728	14.5729638549	5016	215756
281.8598358631134	43	0.0119963	28.9884393064	16.9960853838	124.0	10.0	28.9884393064	16.9960853838	5015	220771
288.41744112968445	44	0.0119343	29.9461077844	17.2492323825	101.0	10.0	29.9461077844	17.2492323825	5001	225772
294.89089274406433	45	0.0108404	28.7657142857	13.8538069622	76.0	10.0	28.7657142857	13.8538069622	5034	230806
301.38610649108887	46	0.0158072	30.3878787879	16.9697012987	91.0	9.0	30.3878787879	16.9697012987	5014	235820
307.8497016429901	47	0.00915909	28.5511363636	15.0490749815	101.0	9.0	28.5511363636	15.0490749815	5025	240845
314.35059809684753	48	0.0169392	32.5	20.2292863437	148.0	9.0	32.5	20.2292863437	5005	245850
320.7960205078125	49	0.0122585	31.1552795031	18.0070928076	108.0	9.0	31.1552795031	18.0070928076	5016	250866
327.22392535209656	50	0.0122938	31.0185185185	17.6937152204	131.0	10.0	31.0185185185	17.6937152204	5025	255891
333.70548963546753	51	0.0108643	31.4375	17.4977453905	119.0	10.0	31.4375	17.4977453905	5030	260921
340.29893708229065	52	0.0157166	31.2608695652	18.7472637305	125.0	8.0	31.2608695652	18.7472637305	5033	265954
346.7934539318085	53	0.0115833	32.3057324841	18.6283334709	102.0	10.0	32.3057324841	18.6283334709	5072	271026
353.2342641353607	54	0.0135803	32.6428571429	20.1438587759	121.0	10.0	32.6428571429	20.1438587759	5027	276053
359.69841599464417	55	0.0128307	33.1390728477	17.6998670759	99.0	8.0	33.1390728477	17.6998670759	5004	281057
366.1905429363251	56	0.0205402	37.2	21.849925841	110.0	10.0	37.2	21.849925841	5022	286079
372.64897775650024	57	0.018713	34.4657534247	18.8105786266	133.0	9.0	34.4657534247	18.8105786266	5032	291111
379.0012114048004	58	0.0152931	34.4383561644	19.6834443342	124.0	11.0	34.4383561644	19.6834443342	5028	296139
385.4452476501465	59	0.0149622	34.5655172414	19.1749886636	115.0	9.0	34.5655172414	19.1749886636	5012	301151
391.8809859752655	60	0.0113564	33.1258278146	17.253967635	90.0	9.0	33.1258278146	17.253967635	5002	306153
398.2510621547699	61	0.0146685	35.1538461538	20.6358055627	148.0	9.0	35.1538461538	20.6358055627	5027	311180
404.7882249355316	62	0.0192585	36.1510791367	20.6881308442	146.0	10.0	36.1510791367	20.6881308442	5025	316205
411.33284306526184	63	0.014226	34.4315068493	18.7981008711	103.0	9.0	34.4315068493	18.7981008711	5027	321232
417.89663219451904	64	0.0147791	35.7285714286	18.8550269376	100.0	10.0	35.7285714286	18.8550269376	5002	326234
424.5260579586029	65	0.0172329	38.5076923077	21.1107869452	131.0	10.0	38.5076923077	21.1107869452	5006	331240
431.17174434661865	66	0.0201206	41.5785123967	24.5648919893	139.0	10.0	41.5785123967	24.5648919893	5031	336271
437.7935197353363	67	0.0105114	36.4710144928	19.6052314924	99.0	9.0	36.4710144928	19.6052314924	5033	341304
443.9065806865692	68	0.0176487	41.5619834711	19.6228457519	105.0	10.0	41.5619834711	19.6228457519	5029	346333
450.4850754737854	69	0.0186796	39.7619047619	19.1437455373	90.0	9.0	39.7619047619	19.1437455373	5010	351343
457.25292778015137	70	0.00974846	41.6198347107	23.6762796519	145.0	10.0	41.6198347107	23.6762796519	5036	356379
464.03673911094666	71	0.0244446	46.0545454545	27.0097074683	163.0	14.0	46.0545454545	27.0097074683	5066	361445
470.73259258270264	72	0.0171452	42.0420168067	23.8846650842	191.0	12.0	42.0420168067	23.8846650842	5003	366448
477.29917001724243	73	0.0159492	43.1379310345	22.2826268153	146.0	9.0	43.1379310345	22.2826268153	5004	371452
483.94618821144104	74	0.01647	50.24	27.4481766243	156.0	13.0	50.24	27.4481766243	5024	376476
490.51457047462463	75	0.0140343	44.3185840708	22.0892259353	117.0	12.0	44.3185840708	22.0892259353	5008	381484
497.14177322387695	76	0.0157566	44.610619469	20.8871530268	147.0	10.0	44.610619469	20.8871530268	5041	386525
503.4431526660919	77	0.00895309	45.4414414414	22.987926594	134.0	13.0	45.4414414414	22.987926594	5044	391569
510.30276107788086	78	0.0193806	49.4215686275	27.1450122796	152.0	10.0	49.4215686275	27.1450122796	5041	396610
517.1481840610504	79	0.0161972	51.193877551	30.9870473807	138.0	10.0	51.193877551	30.9870473807	5017	401627
523.9161043167114	80	0.0114231	45.9266055046	25.9090527985	200.0	10.0	45.9266055046	25.9090527985	5006	406633
530.623654127121	81	0.0210266	54.0430107527	25.2628819385	144.0	13.0	54.0430107527	25.2628819385	5026	411659
537.4348866939545	82	0.0120182	50.65	25.1564604028	114.0	18.0	50.65	25.1564604028	5065	416724
544.37278008461	83	0.015461	50.4752475248	22.2899853459	161.0	10.0	50.4752475248	22.2899853459	5098	421822
551.2376871109009	84	0.0169411	51.5918367347	27.0565683808	176.0	15.0	51.5918367347	27.0565683808	5056	426878
557.9599492549896	85	0.0139027	51.7731958763	23.4689991417	139.0	13.0	51.7731958763	23.4689991417	5022	431900
564.6829078197479	86	0.0190735	57.1022727273	25.1563473703	143.0	17.0	57.1022727273	25.1563473703	5025	436925
571.3572978973389	87	0.0143299	51.8969072165	23.6335793503	128.0	11.0	51.8969072165	23.6335793503	5034	441959
577.9475173950195	88	0.0140934	53.4680851064	23.1529154121	125.0	17.0	53.4680851064	23.1529154121	5026	446985
584.73686003685	89	0.0184689	59.7380952381	31.9609579717	166.0	12.0	59.7380952381	31.9609579717	5018	452003
591.5281662940979	90	0.0175838	60.3214285714	30.0729908541	154.0	16.0	60.3214285714	30.0729908541	5067	457070
598.2429139614105	91	0.0200043	60.3975903614	32.961437768	200.0	15.0	60.3975903614	32.961437768	5013	462083
