Time	Iteration	LossDelta	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
11.000394105911255	0	0.00911713	18.7378277154	9.68524263347	76.0	8.0	18.7378277154	9.68524263347	5003	5003
16.647364854812622	1	0.00647545	18.2627737226	8.81709526708	75.0	8.0	18.2627737226	8.81709526708	5004	10007
20.114785194396973	2	0.00970078	20.3739837398	11.0867960535	80.0	8.0	20.3739837398	11.0867960535	5012	15019
23.694873571395874	3	0.00567532	19.3667953668	8.76068667646	61.0	8.0	19.3667953668	8.76068667646	5016	20035
26.609707355499268	4	0.00611305	19.876984127	10.5275878144	67.0	8.0	19.876984127	10.5275878144	5009	25044
29.714627504348755	5	0.00836086	20.9456066946	10.9491584452	107.0	8.0	20.9456066946	10.9491584452	5006	30050
35.56022882461548	6	0.00531673	19.46692607	9.88296669168	56.0	8.0	19.46692607	9.88296669168	5003	35053
41.85062003135681	7	0.006567	20.0923694779	11.1882173216	71.0	8.0	20.0923694779	11.1882173216	5003	40056
48.25952124595642	8	0.00544548	19.814229249	10.3748458296	77.0	9.0	19.814229249	10.3748458296	5013	45069
54.70057678222656	9	0.00507355	19.7984189723	9.49239749213	76.0	8.0	19.7984189723	9.49239749213	5009	50078
61.147088050842285	10	0.00499249	19.8849206349	10.432257418	66.0	9.0	19.8849206349	10.432257418	5011	55089
67.58914852142334	11	0.00382996	19.5680933852	9.85834659221	64.0	8.0	19.5680933852	9.85834659221	5029	60118
74.02363419532776	12	0.00588417	21.0336134454	10.4305891235	52.0	9.0	21.0336134454	10.4305891235	5006	65124
80.49288749694824	13	0.00451469	20.7510373444	11.3139032892	79.0	8.0	20.7510373444	11.3139032892	5001	70125
86.89163541793823	14	0.00477791	20.1935483871	10.4632054388	70.0	9.0	20.1935483871	10.4632054388	5008	75133
93.40243148803711	15	0.00434399	21.0378151261	10.8752783532	69.0	9.0	21.0378151261	10.8752783532	5007	80140
99.7744791507721	16	0.0029974	20.2631578947	9.30802073197	51.0	8.0	20.2631578947	9.30802073197	5005	85145
106.19744324684143	17	0.00511265	21.8739130435	11.5211230352	68.0	8.0	21.8739130435	11.5211230352	5031	90176
112.66359972953796	18	0.00515652	22.3973214286	11.9764721718	94.0	9.0	22.3973214286	11.9764721718	5017	95193
119.06502962112427	19	0.00272465	20.9623430962	10.1000561513	65.0	8.0	20.9623430962	10.1000561513	5010	100203
125.518306016922	20	0.00375366	20.8008298755	10.9685404216	74.0	9.0	20.8008298755	10.9685404216	5013	105216
131.71348071098328	21	0.00375366	21.2109704641	10.2313845524	67.0	9.0	21.2109704641	10.2313845524	5027	110243
138.09855365753174	22	0.00371075	20.4285714286	11.2089614294	83.0	9.0	20.4285714286	11.2089614294	5005	115248
144.69221711158752	23	0.00357342	21.8864628821	10.3984059987	71.0	8.0	21.8864628821	10.3984059987	5012	120260
151.24955773353577	24	0.00406647	21.5689655172	10.5558646373	56.0	9.0	21.5689655172	10.5558646373	5004	125264
157.77349662780762	25	0.00327492	21.5150214592	11.6494206647	91.0	9.0	21.5150214592	11.6494206647	5013	130277
164.2189440727234	26	0.00439644	22.0748898678	11.3299973895	75.0	9.0	22.0748898678	11.3299973895	5011	135288
170.6957652568817	27	0.00439167	22.4151785714	11.4530073236	86.0	9.0	22.4151785714	11.4530073236	5021	140309
177.2222363948822	28	0.00277042	20.8708333333	10.2145720732	62.0	9.0	20.8708333333	10.2145720732	5009	145318
183.72794365882874	29	0.00410557	21.8689956332	11.5426056916	76.0	9.0	21.8689956332	11.5426056916	5008	150326
190.216064453125	30	0.00266838	21.8652173913	11.3353663064	79.0	8.0	21.8652173913	11.3353663064	5029	155355
196.72412776947021	31	0.00446796	22.3526785714	11.1613848013	73.0	9.0	22.3526785714	11.1613848013	5007	160362
203.22084736824036	32	0.00594616	23.3488372093	12.8925500769	84.0	9.0	23.3488372093	12.8925500769	5020	165382
209.8418047428131	33	0.00476837	22.527027027	12.2465913327	73.0	9.0	22.527027027	12.2465913327	5001	170383
216.4594988822937	34	0.0053463	22.3258928571	11.1008384942	94.0	9.0	22.3258928571	11.1008384942	5001	175384
223.07593369483948	35	0.00483704	22.0881057269	12.3109918089	78.0	9.0	22.0881057269	12.3109918089	5014	180398
229.73208212852478	36	0.00579071	22.2666666667	12.4432935976	82.0	8.0	22.2666666667	12.4432935976	5010	185408
236.22071266174316	37	0.00432205	20.9372384937	10.9023928465	79.0	9.0	20.9372384937	10.9023928465	5004	190412
242.83845281600952	38	0.00600147	23.2777777778	12.7008554198	79.0	9.0	23.2777777778	12.7008554198	5028	195440
249.24910974502563	39	0.00775909	24.2766990291	14.9862765953	95.0	9.0	24.2766990291	14.9862765953	5001	200441
255.57375311851501	40	0.00618172	23.2930232558	12.9134038052	101.0	8.0	23.2930232558	12.9134038052	5008	205449
261.9509792327881	41	0.00882912	23.7061611374	15.34126517	167.0	9.0	23.7061611374	15.34126517	5002	210451
268.46623492240906	42	0.00858498	24.1980676329	14.0246296854	76.0	9.0	24.1980676329	14.0246296854	5009	215460
274.63376903533936	43	0.0100212	24.5245098039	14.6974183159	82.0	9.0	24.5245098039	14.6974183159	5003	220463
280.9791808128357	44	0.00838757	24.1105769231	12.5878560088	83.0	9.0	24.1105769231	12.5878560088	5015	225478
287.3874604701996	45	0.00699329	23.9	12.6932490493	77.0	9.0	23.9	12.6932490493	5019	230497
293.8274037837982	46	0.00905704	25.2211055276	13.1989552192	70.0	8.0	25.2211055276	13.1989552192	5019	235516
